msc_code,model_tisco,submodel_name_tisco,model,submodel,submodel_name,model_year
UL6MRAB_1,MAZDA BT-50 PRO (MY2016),STD 2.2 S_Solid,BT-50 PRO,2.2,STANDARD CAB S,2016
UL6MRAB,MAZDA BT-50 PRO (MY2016),STD 2.2 S,BT-50 PRO,2.2,STANDARD CAB S,2016
UL6JRAC_1,MAZDA BT-50 PRO (MY2016),FSC 2.2 S_Solid,BT-50 PRO,2.2,FREE STYLE CAB S,2016
UL6JRAC,MAZDA BT-50 PRO (MY2016),FSC 2.2 S,BT-50 PRO,2.2,FREE STYLE CAB S,2016
UL6JRAD_1,MAZDA BT-50 PRO (MY2016),FSC 2.2 V_Solid,BT-50 PRO,2.2,FREE STYLE CAB V,2016
UL6JRAD,MAZDA BT-50 PRO (MY2016),FSC 2.2 V,BT-50 PRO,2.2,FREE STYLE CAB V,2016
UL6HRAG_1,MAZDA BT-50 PRO (MY2016),FSC 2.2 Hi-Racer_Solid,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,2016
UL6HRAG,MAZDA BT-50 PRO (MY2016),FSC 2.2 Hi-Racer,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,2016
UL6HRAF_1,MAZDA BT-50 PRO (MY2016),FSC 2.2 Hi-Racer ABS_Solid,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer ABS,2016
UL6HRAF,MAZDA BT-50 PRO (MY2016),FSC 2.2 Hi-Racer ABS,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer ABS,2016
UL6HRAF_2,MAZDA BT-50 PRO (MY2016),FSC 2.2 Hi-Racer ABS - ขาวมุก,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer ABS,2016
UL6BRAD_1,MAZDA BT-50 PRO (MY2016),DBL 2.2 V ABS_Solid,BT-50 PRO,2.2,DOUBLE CAB V ABS,2016
UL6BRAD,MAZDA BT-50 PRO (MY2016),DBL 2.2 V ABS,BT-50 PRO,2.2,DOUBLE CAB V ABS,2016
UL6ARAB,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,2016
UL6ARAB_1,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer_Solid,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,2016
UL6ARAG_1,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS DVD NAVI_Solid,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS NAVI,2016
UL6ARAG,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS DVD NAVI,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS NAVI,2016
UL6ARAG_2,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS DVD NAVI - ขาวมุก,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS NAVI,2016
UL5VRAD_1,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS AT_Solid,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS AT,2016
UL5VRAD,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS AT,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS AT,2016
UL5VRAD_2,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS AT - ขาวมุก,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS AT,2016
UL5VRAN_1,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS/Leather AT/DVD NAVI_Solid,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS AT NAVI,2016
UL5VRAN,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS/Leather AT/DVD NAVI,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS AT NAVI,2016
UL5VRAN_2,MAZDA BT-50 PRO (MY2016),DBL 2.2 Hi-Racer ABS/Leather AT/DVD NAVI - ขาวมุก,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer ABS AT NAVI,2016
UL6ERAC_1,MAZDA BT-50 PRO (MY2016),DBL 4x4 3.2 R ABS/DSC/LH/DVD NAVI_Solid,BT-50 PRO,3.2,DOUBLE CAB R 4WD NAVI,2016
UL6ERAC,MAZDA BT-50 PRO (MY2016),DBL 4x4 3.2 R ABS/DSC/LH/DVD NAVI,BT-50 PRO,3.2,DOUBLE CAB R 4WD NAVI,2016
UL6ERAC_2,MAZDA BT-50 PRO (MY2016),DBL 4x4 3.2 R ABS/DSC/LH/DVD NAVI - ขาวมุก,BT-50 PRO,3.2,DOUBLE CAB R 4WD NAVI,2016
UL6DRAE_1,MAZDA BT-50 PRO (MY2016),DBL 4x4 3.2 R DSC/LH AT/DVD NAVI_Solid,BT-50 PRO,3.2,DOUBLE CAB R 4WD AT NAVI,2016
UL6DRAE,MAZDA BT-50 PRO (MY2016),DBL 4x4 3.2 R DSC/LH AT/DVD NAVI,BT-50 PRO,3.2,DOUBLE CAB R 4WD AT NAVI,2016
UL6DRAE_2,MAZDA BT-50 PRO (MY2016),DBL 4x4 3.2 R DSC/LH AT/DVD NAVI - ขาวมุก,BT-50 PRO,3.2,DOUBLE CAB R 4WD AT NAVI,2016
UL6HI01,"MAZDA BT-50 PRO ""THUNDER"" (MY2018)",FSC 2.2 Hi-Racer (THUNDER)_สี Metalic,BT-50 PRO,2.2,FREE STYLE CAB THUNDER Hi-Racer,2018
UL6HI01_1,"MAZDA BT-50 PRO ""THUNDER"" (MY2018)",FSC 2.2 Hi-Racer (THUNDER)_สีขาว Cool White,BT-50 PRO,2.2,FREE STYLE CAB THUNDER Hi-Racer,2018
UL6AI01,"MAZDA BT-50 PRO ""THUNDER"" (MY2018)",DBL 2.2 Hi-Racer (THUNDER)_สี Metalic,BT-50 PRO,2.2,DOUBLE CAB THUNDER Hi-Racer,2018
UL6AI01_1,"MAZDA BT-50 PRO ""THUNDER"" (MY2018)",DBL 2.2 Hi-Racer (THUNDER)_สีขาว Cool White,BT-50 PRO,2.2,DOUBLE CAB THUNDER Hi-Racer,2018
UL5VI01,"MAZDA BT-50 PRO ""THUNDER"" (MY2018)",DBL 2.2 Hi-Racer ABS/Leather AT DVD Navi (THUNDER)_สี Metalic,BT-50 PRO,2.2,DOUBLE CAB THUNDER Hi-Racer ABS AT NAVI,2018
UL5VI01_2,"MAZDA BT-50 PRO ""THUNDER"" (MY2018)",DBL 2.2 Hi-Racer ABS/Leather AT DVD Navi (THUNDER)_สีขาวมุก Snowflake,BT-50 PRO,2.2,DOUBLE CAB THUNDER Hi-Racer ABS AT NAVI,2018
