index,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost,ttb_bluebook_id,
172,2020,Mazda,3,2,S Sports,Hatchback,AT,19,24,other,52500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-สุขุมวิท/12820696,748000,367,
2119,2011,Mazda,2,1.5,Spirit Sports,Hatchback,AT,9,14,white,137500,2023-10-25,mazda-2-spirit-sports-ภาคใต้-อำเภอเมืองสุราษฎร์ธานี/12341882,219000,319,
55,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,silver,93175,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/12777919?auc=true,389000,98,
1474,2015,Mazda,3,2,S Sports,Hatchback,AT,14,18,brown,140629,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11963885?auc=true,399000,440,
103,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,red,52500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อำเภอบางพลี/12687481,375000,98,
1165,2022,Mazda,3,2,SP Sports,Hatchback,AT,19,24,white,14838,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12213933?auc=true,898000,350,
1469,2016,Mazda,CX-3,2,SP,SUV,AT,15,19,red,82500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/7959414,449000,1011,
1938,2018,Mazda,CX-3,2,SP,SUV,AT,15,22,red,87500,2023-10-25,mazda-cx-3-sp-ภาคใต้-อำเภอเมืองภูเก็ต/12613484,585000,995,
2084,2015,Mazda,3,2,S Sports,Hatchback,AT,14,18,red,167500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12433053?auc=true,369000,440,
1793,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,gray,29835,2023-10-25,mazda-2-high-connect-ภาคเหนือ-อำเภอเมืองเชียงราย/12813916,435000,98,
1878,2022,Mazda,2,1.3,C,Sedan,AT,15,25,white,7500,2023-10-25,mazda-2-c-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12766179?auc=true,399000,25,
121,2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,blue,27500,2023-10-25,mazda-2-elegance-spirit-ภาคอีสาน-อำเภอเมืองอุบลราชธานี/12646344,150000,290,
2033,2016,Mazda,2,1.3,High,Sedan,AT,15,25,white,147500,2023-10-25,mazda-2-high-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12567260?auc=true,289000,176,
458,2017,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,black,207500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12055057,359000,769,
678,2021,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15,25,red,2500,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12815558,389000,54,
1475,2022,Mazda,CX-30,2,SP,SUV,AT,20,25,white,32188,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11472088?auc=true,899999,1024,
156,2021,Mazda,2,1.3,C,Sedan,AT,15,25,black,27500,2023-10-25,mazda-2-c-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12760638,450900,42,
364,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,white,82500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-พระราม3-สาทร-พระราม4/9920857,799000,1028,
566,2012,Mazda,2,1.5,Sports Groove,Hatchback,MT,9,14,white,77500,2023-10-25,mazda-2-sports-groove-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12788649?auc=true,189000,283,
1261,2020,Mazda,3,2,S Sports,Hatchback,AT,19,24,black,22500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12293210,699000,367,
697,2016,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13,16,gray,105014,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-มีนบุรี/12500102,465000,1101,
1169,2015,Mazda,3,2,S,Sedan,AT,14,18,gray,117500,2023-10-25,mazda-3-s-ภาคตะวันออก-อำเภอเมืองระยอง/11208461,459000,437,
963,2015,Mazda,3,2,C Sports,Hatchback,AT,14,18,red,164043,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12521354,389000,431,
645,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,brown,12500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12802011,349000,152,
1279,2014,Mazda,3,2,SP Sports,Hatchback,AT,14,18,red,167500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12483852?auc=true,429000,461,
