id,car_year,brand,car_type,transmission,model,1st_hand_price,avg_used_price,min_sell_price,max_sell_price
0,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G Carbon Edition,669000,585000,526500,643500
1,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G Clap Pop Sports (MY23),647000,575000,517500,632500
2,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sedan (MY19) (MNC),599000,505000,454500,555500
3,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sedan (MY23),599000,535000,459000,489000
4,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sports (MY19) (MNC),599000,505000,454500,555500
5,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sports (MY23),599000,535000,481500,588500
6,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sedan (MY19) (MNC),546000,465000,418500,511500
7,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sports (MY19) (MNC),546000,465000,418500,511500
8,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G RooKie Drive Sports (MY23),662000,590000,531000,649000
9,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan (MY19) (MNC),659000,555000,559000,600000
10,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports (MY19) (MNC),659000,555000,499000,499000
11,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G Sports Carbon Edition,669000,590000,531000,649000
12,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sedan (MY19) (MNC),690000,585000,526500,643500
13,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sedan (MY23),730000,655000,549000,559000
14,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sports (MY19) (MNC),690000,585000,526500,643500
15,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sports (MY23),730000,655000,589500,720500
16,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sedan (MY23),680000,605000,499000,499000
17,2023,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sports (MY23),680000,605000,544500,665500
18,2023,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sedan (MY19) (MNC),799000,690000,621000,759000
19,2023,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sedan (MY23),830000,750000,675000,825000
20,2023,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sports (MY19) (MNC),799000,690000,621000,759000
21,2023,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sports (MY23),830000,750000,675000,825000
22,2023,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sedan (MY23),720000,650000,585000,715000
23,2023,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sports (MY23),720000,650000,585000,715000
24,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G Carbon Edition,669000,565000,508500,621500
25,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sedan (MY19) (MNC),599000,485000,434000,499000
26,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sports (MY19) (MNC),599000,485000,399900,518000
27,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sedan (MY19) (MNC),546000,445000,489000,489000
28,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sports (MY19) (MNC),546000,445000,400500,489500
29,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan 100th Anniversary Edition,677000,555000,499500,610500
30,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan (MY19) (MNC),659000,535000,419000,587000
31,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports 100th Anniversary Edition,677000,555000,499500,610500
32,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports (MY19) (MNC),659000,535000,455000,529000
33,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G Sports Carbon Edition,669000,570000,513000,627000
34,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sedan (MY19) (MNC),690000,565000,489000,519000
35,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sports (MY19) (MNC),690000,565000,508500,621500
36,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sedan (MY19) (MNC),627000,515000,459999,499000
37,2022,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sports (MY19) (MNC),627000,515000,428000,459000
38,2022,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sedan (MY19) (MNC),799000,670000,603000,737000
39,2022,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sports (MY19) (MNC),799000,670000,603000,737000
40,2022,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sedan (MY19) (MNC),782000,650000,585000,715000
41,2022,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sports (MY19) (MNC),782000,650000,585000,715000
42,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sedan (MY19),602000,485000,439000,459000
43,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sedan (MY19) (MNC),599000,465000,429000,490000
44,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sports (MY19),602000,485000,436500,533500
45,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sports (MY19) (MNC),599000,465000,439000,466900
46,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sedan (MY19),546000,425000,409000,409000
47,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sedan (MY19) (MNC),546000,425000,382500,467500
48,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sports (MY19),546000,425000,458000,458000
49,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sports (MY19) (MNC),546000,425000,499000,499000
50,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan 100th Anniversary Edition,677000,535000,481500,588500
51,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan (MY19),648000,525000,427000,519000
52,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan (MY19) (MNC),659000,515000,390000,495000
53,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports 100th Anniversary Edition,677000,535000,481500,588500
54,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports (MY19),648000,520000,469000,469000
55,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports (MY19) (MNC),659000,515000,389000,495000
56,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sedan (MY19),690000,545000,490500,599500
57,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sedan (MY19) (MNC),690000,545000,459000,479000
58,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sports (MY19),690000,545000,490500,599500
59,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sports (MY19) (MNC),690000,545000,450000,450000
60,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sedan (MY19),627000,505000,459000,464000
61,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sedan (MY19) (MNC),627000,495000,394000,519000
62,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sports (MY19),627000,505000,439000,439000
63,2021,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sports (MY19) (MNC),627000,495000,394000,549000
64,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sedan (MY19),799000,630000,567000,693000
65,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sedan (MY19) (MNC),799000,650000,585000,715000
66,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sports (MY19),799000,630000,567000,693000
67,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sports (MY19) (MNC),799000,650000,585000,715000
68,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sedan (MY19),782000,610000,549000,671000
69,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sedan (MY19) (MNC),782000,630000,567000,693000
70,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sports (MY19),782000,610000,549000,671000
71,2021,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sports (MY19) (MNC),782000,630000,567000,693000
72,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sedan (MY19),602000,465000,250000,485000
73,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sports (MY19),602000,465000,459700,489000
74,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sedan (MY19),546000,405000,359000,459000
75,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G E Sports (MY19),546000,405000,380000,419000
76,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan 100th Anniversary Edition,677000,515000,463500,566500
77,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sedan (MY19),648000,505000,380000,599000
78,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports 100th Anniversary Edition,677000,515000,459000,459000
79,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Leather Sports (MY19),648000,500000,419000,504291
80,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sedan (MY19),690000,525000,424000,482142
81,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G SP Sports (MY19),690000,525000,448000,512530
82,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sedan (MY19),627000,485000,365000,460421
83,2020,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G S Sports (MY19),627000,485000,400000,498000
84,2020,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sedan (MY19),799000,610000,549000,671000
85,2020,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XDL Sports (MY19),799000,610000,469000,469000
86,2020,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sedan (MY19),782000,590000,531000,649000
87,2020,Mazda,รถเก๋ง,Auto,2 1.5 Skyactiv-D XD Sports (MY19),782000,590000,531000,649000
88,2019,Mazda,รถเก๋ง,Auto,2 1.3 Skyactiv-G C Sedan (MY19),602000,445000,359000,359000
